"Cf","Points:0","Points:1","Points:2"
0.00277545,-0.1508,0.0127,0
0.002186641,-0.1456251,0.0127,0
0.002186641,-0.1456251,0.0127,0.01
0.00277545,-0.1508,0.0127,0.01
0.001413085,-0.1405757,0.0127,0
0.001413085,-0.1405757,0.0127,0.01
0.001155609,-0.135649,0.0127,0
0.001155609,-0.135649,0.0127,0.01
0.001137447,-0.1308417,0.0127,0
0.001137447,-0.1308417,0.0127,0.01
0.001253196,-0.1261512,0.0127,0
0.001253196,-0.1261512,0.0127,0.01
0.001350161,-0.1215746,0.0127,0
0.001350161,-0.1215746,0.0127,0.01
0.001407854,-0.117109,0.0127,0
0.001407854,-0.117109,0.0127,0.01
0.001444281,-0.1127518,0.0127,0
0.001444281,-0.1127518,0.0127,0.01
0.001469135,-0.1085003,0.0127,0
0.001469135,-0.1085003,0.0127,0.01
0.001487175,-0.104352,0.0127,0
0.001487175,-0.104352,0.0127,0.01
0.001500625,-0.1003045,0.0127,0
0.001500625,-0.1003045,0.0127,0.01
0.001511139,-0.09635513,0.0127,0
0.001511139,-0.09635513,0.0127,0.01
0.001519958,-0.09250165,0.0127,0
0.001519958,-0.09250165,0.0127,0.01
0.001527796,-0.0887417,0.0127,0
0.001527796,-0.0887417,0.0127,0.01
0.001534968,-0.085073,0.0127,0
0.001534968,-0.085073,0.0127,0.01
0.001541721,-0.08149336,0.0127,0
0.001541721,-0.08149336,0.0127,0.01
0.001548171,-0.07800059,0.0127,0
0.001548171,-0.07800059,0.0127,0.01
0.001554457,-0.07459261,0.0127,0
0.001554457,-0.07459261,0.0127,0.01
0.001560648,-0.07126733,0.0127,0
0.001560648,-0.07126733,0.0127,0.01
0.001566739,-0.06802277,0.0127,0
0.001566739,-0.06802277,0.0127,0.01
0.00157277,-0.06485695,0.0127,0
0.00157277,-0.06485695,0.0127,0.01
0.001578836,-0.06176798,0.0127,0
0.001578836,-0.06176798,0.0127,0.01
0.001585009,-0.05875398,0.0127,0
0.001585009,-0.05875398,0.0127,0.01
0.001591252,-0.05581314,0.0127,0
0.001591252,-0.05581314,0.0127,0.01
0.001597585,-0.05294367,0.0127,0
0.001597585,-0.05294367,0.0127,0.01
0.001604027,-0.05014385,0.0127,0
0.001604027,-0.05014385,0.0127,0.01
0.00161055,-0.04741199,0.0127,0
0.00161055,-0.04741199,0.0127,0.01
0.001617191,-0.04474643,0.0127,0
0.001617191,-0.04474643,0.0127,0.01
0.00162403,-0.04214557,0.0127,0
0.00162403,-0.04214557,0.0127,0.01
0.001631077,-0.03960783,0.0127,0
0.001631077,-0.03960783,0.0127,0.01
0.001638379,-0.03713169,0.0127,0
0.001638379,-0.03713169,0.0127,0.01
0.001645996,-0.03471565,0.0127,0
0.001645996,-0.03471565,0.0127,0.01
0.001653938,-0.03235825,0.0127,0
0.001653938,-0.03235825,0.0127,0.01
0.001662243,-0.03005807,0.0127,0
0.001662243,-0.03005807,0.0127,0.01
0.001670941,-0.02781371,0.0127,0
0.001670941,-0.02781371,0.0127,0.01
0.001680124,-0.02562383,0.0127,0
0.001680124,-0.02562383,0.0127,0.01
0.001689872,-0.0234871,0.0127,0
0.001689872,-0.0234871,0.0127,0.01
0.0017003,-0.02140224,0.0127,0
0.0017003,-0.02140224,0.0127,0.01
0.001711458,-0.01936797,0.0127,0
0.001711458,-0.01936797,0.0127,0.01
0.001723507,-0.01738308,0.0127,0
0.001723507,-0.01738308,0.0127,0.01
0.001736593,-0.01544637,0.0127,0
0.001736593,-0.01544637,0.0127,0.01
0.001750864,-0.01355666,0.0127,0
0.001750864,-0.01355666,0.0127,0.01
0.001766885,-0.01171282,0.0127,0
0.001766885,-0.01171282,0.0127,0.01
0.001784528,-0.009913737,0.0127,0
0.001784528,-0.009913737,0.0127,0.01
0.001806317,-0.008158316,0.0127,0
0.001806317,-0.008158316,0.0127,0.01
0.001829455,-0.006445501,0.0127,0
0.001829455,-0.006445501,0.0127,0.01
0.001868558,-0.004774259,0.0127,0
0.001868558,-0.004774259,0.0127,0.01
0.00190572,-0.003143581,0.0127,0
0.00190572,-0.003143581,0.0127,0.01
0.001907186,-0.001552481,0.0127,0
0.001907186,-0.001552481,0.0127,0.01
0.001900066,0,0.0127,0
0.001900066,0,0.0127,0.01
-5.443391e-06,0,0,0
-5.443391e-06,0,0,0.01
-2.428692e-06,0,5.378174e-05,0.01
-2.428692e-06,0,5.378174e-05,0
-8.45684e-08,0,0.0001097039,0.01
-8.45684e-08,0,0.0001097039,0
-7.135718e-07,0,0.0001678517,0.01
-7.135718e-07,0,0.0001678517,0
-6.35221e-07,0,0.0002283137,0.01
-6.35221e-07,0,0.0002283137,0
-6.107207e-07,0,0.0002911819,0.01
-6.107207e-07,0,0.0002911819,0
-5.965692e-07,0,0.0003565522,0.01
-5.965692e-07,0,0.0003565522,0
-4.933653e-07,0,0.0004245242,0.01
-4.933653e-07,0,0.0004245242,0
-2.908958e-07,0,0.0004952013,0.01
-2.908958e-07,0,0.0004952013,0
1.220953e-08,0,0.0005686913,0.01
1.220953e-08,0,0.0005686913,0
4.242038e-07,0,0.000645106,0.01
4.242038e-07,0,0.000645106,0
9.556036e-07,0,0.000724562,0.01
9.556036e-07,0,0.000724562,0
1.612466e-06,0,0.0008071801,0.01
1.612466e-06,0,0.0008071801,0
2.390531e-06,0,0.0008930864,0.01
2.390531e-06,0,0.0008930864,0
3.270563e-06,0,0.0009824116,0.01
3.270563e-06,0,0.0009824116,0
4.216804e-06,0,0.001075292,0.01
4.216804e-06,0,0.001075292,0
5.180939e-06,0,0.001171868,0.01
5.180939e-06,0,0.001171868,0
6.110428e-06,0,0.001272289,0.01
6.110428e-06,0,0.001272289,0
6.958524e-06,0,0.001376705,0.01
6.958524e-06,0,0.001376705,0
7.691477e-06,0,0.001485278,0.01
7.691477e-06,0,0.001485278,0
8.290536e-06,0,0.001598171,0.01
8.290536e-06,0,0.001598171,0
8.749092e-06,0,0.001715558,0.01
8.749092e-06,0,0.001715558,0
9.067058e-06,0,0.001837616,0.01
9.067058e-06,0,0.001837616,0
9.245865e-06,0,0.001964532,0.01
9.245865e-06,0,0.001964532,0
9.28927e-06,0,0.002096499,0.01
9.28927e-06,0,0.002096499,0
9.205918e-06,0,0.002233718,0.01
9.205918e-06,0,0.002233718,0
9.005582e-06,0,0.002376398,0.01
9.005582e-06,0,0.002376398,0
8.696311e-06,0,0.002524757,0.01
8.696311e-06,0,0.002524757,0
8.286658e-06,0,0.00267902,0.01
8.286658e-06,0,0.00267902,0
7.786544e-06,0,0.002839422,0.01
7.786544e-06,0,0.002839422,0
7.206376e-06,0,0.003006208,0.01
7.206376e-06,0,0.003006208,0
6.566511e-06,0,0.003179633,0.01
6.566511e-06,0,0.003179633,0
5.874105e-06,0,0.003359959,0.01
5.874105e-06,0,0.003359959,0
5.12622e-06,0,0.003547461,0.01
5.12622e-06,0,0.003547461,0
4.333724e-06,0,0.003742427,0.01
4.333724e-06,0,0.003742427,0
3.507975e-06,0,0.003945151,0.01
3.507975e-06,0,0.003945151,0
2.660522e-06,0,0.004155944,0.01
2.660522e-06,0,0.004155944,0
1.803563e-06,0,0.004375125,0.01
1.803563e-06,0,0.004375125,0
9.480709e-07,0,0.00460303,0.01
9.480709e-07,0,0.00460303,0
1.048558e-07,0,0.004840005,0.01
1.048558e-07,0,0.004840005,0
-7.134287e-07,0,0.005086411,0.01
-7.134287e-07,0,0.005086411,0
-1.506297e-06,0,0.005342624,0.01
-1.506297e-06,0,0.005342624,0
-2.285036e-06,0,0.005609034,0.01
-2.285036e-06,0,0.005609034,0
-3.055125e-06,0,0.005886046,0.01
-3.055125e-06,0,0.005886046,0
-3.819386e-06,0,0.006174083,0.01
-3.819386e-06,0,0.006174083,0
-4.580725e-06,0,0.006473584,0.01
-4.580725e-06,0,0.006473584,0
-5.339989e-06,0,0.006785004,0.01
-5.339989e-06,0,0.006785004,0
-6.103217e-06,0,0.007108818,0.01
-6.103217e-06,0,0.007108818,0
-6.88637e-06,0,0.00744552,0.01
-6.88637e-06,0,0.00744552,0
-7.695117e-06,0,0.007795621,0.01
-7.695117e-06,0,0.007795621,0
-8.522968e-06,0,0.008159656,0.01
-8.522968e-06,0,0.008159656,0
-9.350399e-06,0,0.008538179,0.01
-9.350399e-06,0,0.008538179,0
-1.01188e-05,0,0.008931767,0.01
-1.01188e-05,0,0.008931767,0
-1.072435e-05,0,0.009341019,0.01
-1.072435e-05,0,0.009341019,0
-1.110933e-05,0,0.009766559,0.01
-1.110933e-05,0,0.009766559,0
-1.071929e-05,0,0.01020903,0.01
-1.071929e-05,0,0.01020903,0
-1.023043e-05,0,0.01066912,0.01
-1.023043e-05,0,0.01066912,0
-6.71717e-06,0,0.01114751,0.01
-6.71717e-06,0,0.01114751,0
-1.952807e-06,0,0.01164495,0.01
-1.952807e-06,0,0.01164495,0
9.136226e-06,0,0.01216218,0.01
9.136226e-06,0,0.01216218,0
2.519564e-06,0.0006870241,0,0
2.519564e-06,0.0006870241,0,0.01
1.237149e-05,0.0013882,0,0
1.237149e-05,0.0013882,0,0.01
2.554198e-05,0.002103819,0,0
2.554198e-05,0.002103819,0,0.01
3.344165e-05,0.002834179,0,0
3.344165e-05,0.002834179,0,0.01
3.460683e-05,0.003579583,0,0
3.460683e-05,0.003579583,0,0.01
3.041334e-05,0.004340342,0,0
3.041334e-05,0.004340342,0,0.01
2.318385e-05,0.005116771,0,0
2.318385e-05,0.005116771,0,0.01
1.551669e-05,0.005909194,0,0
1.551669e-05,0.005909194,0,0.01
9.650774e-06,0.006717939,0,0
9.650774e-06,0.006717939,0,0.01
6.596484e-06,0.007543344,0,0
6.596484e-06,0.007543344,0,0.01
9.521377e-06,0.00838575,0,0
9.521377e-06,0.00838575,0,0.01
1.968735e-05,0.00924551,0,0
1.968735e-05,0.00924551,0,0.01
3.067542e-05,0.01012298,0,0
3.067542e-05,0.01012298,0,0.01
3.835983e-05,0.01101852,0,0
3.835983e-05,0.01101852,0,0.01
4.480241e-05,0.01193251,0,0
4.480241e-05,0.01193251,0,0.01
5.078108e-05,0.01286533,0,0
5.078108e-05,0.01286533,0,0.01
5.473562e-05,0.01381736,0,0
5.473562e-05,0.01381736,0,0.01
5.362171e-05,0.01478901,0,0
5.362171e-05,0.01478901,0,0.01
4.08489e-05,0.01578066,0,0
4.08489e-05,0.01578066,0,0.01
9.939433e-06,0.01679275,0,0
9.939433e-06,0.01679275,0,0.01
-3.779328e-05,0.01782568,0,0
-3.779328e-05,0.01782568,0,0.01
-9.429682e-05,0.01887989,0,0
-9.429682e-05,0.01887989,0,0.01
-0.0001521458,0.01995581,0,0
-0.0001521458,0.01995581,0,0.01
-0.0002078907,0.0210539,0,0
-0.0002078907,0.0210539,0,0.01
-0.0002609331,0.02217461,0,0
-0.0002609331,0.02217461,0,0.01
-0.0003116718,0.0233184,0,0
-0.0003116718,0.0233184,0,0.01
-0.0003606206,0.02448575,0,0
-0.0003606206,0.02448575,0,0.01
-0.0004080905,0.02567715,0,0
-0.0004080905,0.02567715,0,0.01
-0.0004542244,0.02689308,0,0
-0.0004542244,0.02689308,0,0.01
-0.0004990248,0.02813407,0,0
-0.0004990248,0.02813407,0,0.01
-0.0005424165,0.02940062,0,0
-0.0005424165,0.02940062,0,0.01
-0.0005842961,0.03069326,0,0
-0.0005842961,0.03069326,0,0.01
-0.0006245311,0.03201252,0,0
-0.0006245311,0.03201252,0,0.01
-0.000662969,0.03335896,0,0
-0.000662969,0.03335896,0,0.01
-0.0006994268,0.03473313,0,0
-0.0006994268,0.03473313,0,0.01
-0.0007336759,0.03613561,0,0
-0.0007336759,0.03613561,0,0.01
-0.0007654501,0.03756698,0,0
-0.0007654501,0.03756698,0,0.01
-0.0007944552,0.03902783,0,0
-0.0007944552,0.03902783,0,0.01
-0.0008203688,0.04051878,0,0
-0.0008203688,0.04051878,0,0.01
-0.0008428498,0.04204043,0,0
-0.0008428498,0.04204043,0,0.01
-0.0008615843,0.04359343,0,0
-0.0008615843,0.04359343,0,0.01
-0.0008762793,0.04517842,0,0
-0.0008762793,0.04517842,0,0.01
-0.0008866332,0.04679606,0,0
-0.0008866332,0.04679606,0,0.01
-0.0008923572,0.04844702,0,0
-0.0008923572,0.04844702,0,0.01
-0.0008932175,0.05013199,0,0
-0.0008932175,0.05013199,0,0.01
-0.0008890629,0.05185166,0,0
-0.0008890629,0.05185166,0,0.01
-0.000879755,0.05360676,0,0
-0.000879755,0.05360676,0,0.01
-0.0008651751,0.05539801,0,0
-0.0008651751,0.05539801,0,0.01
-0.0008452755,0.05722616,0,0
-0.0008452755,0.05722616,0,0.01
-0.0008201042,0.05909196,0,0
-0.0008201042,0.05909196,0,0.01
-0.0007897749,0.0609962,0,0
-0.0007897749,0.0609962,0,0.01
-0.0007544164,0.06293967,0,0
-0.0007544164,0.06293967,0,0.01
-0.000714222,0.06492316,0,0
-0.000714222,0.06492316,0,0.01
-0.0006693876,0.06694751,0,0
-0.0006693876,0.06694751,0,0.01
-0.0006202542,0.06901357,0,0
-0.0006202542,0.06901357,0,0.01
-0.0005670172,0.07112218,0,0
-0.0005670172,0.07112218,0,0.01
-0.0005102144,0.07327422,0,0
-0.0005102144,0.07327422,0,0.01
-0.0004498887,0.0754706,0,0
-0.0004498887,0.0754706,0,0.01
-0.0003868723,0.07771221,0,0
-0.0003868723,0.07771221,0,0.01
-0.0002786361,0.08,0,0
-0.0002786361,0.08,0,0.01
-8.399333e-05,0.08816,0,0
-8.399333e-05,0.08816,0,0.01
0.0001419614,0.09632,0,0
0.0001419614,0.09632,0,0.01
0.0003437001,0.10448,0,0
0.0003437001,0.10448,0,0.01
0.000515928,0.11264,0,0
0.000515928,0.11264,0,0.01
0.0006578063,0.1208,0,0
0.0006578063,0.1208,0,0.01
0.0007722496,0.12896,0,0
0.0007722496,0.12896,0,0.01
0.0008633308,0.13712,0,0
0.0008633308,0.13712,0,0.01
0.0009355717,0.14528,0,0
0.0009355717,0.14528,0,0.01
0.0009929447,0.15344,0,0
0.0009929447,0.15344,0,0.01
0.001038744,0.1616,0,0
0.001038744,0.1616,0,0.01
0.001075656,0.16976,0,0
0.001075656,0.16976,0,0.01
0.001105771,0.17792,0,0
0.001105771,0.17792,0,0.01
0.001130668,0.18608,0,0
0.001130668,0.18608,0,0.01
0.001151558,0.19424,0,0
0.001151558,0.19424,0,0.01
0.001169331,0.2024,0,0
0.001169331,0.2024,0,0.01
0.0011847,0.21056,0,0
0.0011847,0.21056,0,0.01
0.001198175,0.21872,0,0
0.001198175,0.21872,0,0.01
0.001210172,0.22688,0,0
0.001210172,0.22688,0,0.01
0.001220949,0.23504,0,0
0.001220949,0.23504,0,0.01
0.001230789,0.2432,0,0
0.001230789,0.2432,0,0.01
0.00123982,0.25136,0,0
0.00123982,0.25136,0,0.01
0.001248229,0.25952,0,0
0.001248229,0.25952,0,0.01
0.001256062,0.26768,0,0
0.001256062,0.26768,0,0.01
0.001263373,0.27584,0,0
0.001263373,0.27584,0,0.01
0.001270005,0.284,0,0
0.001270005,0.284,0,0.01
0.001276312,0.29216,0,0
0.001276312,0.29216,0,0.01
0.001282339,0.30032,0,0
0.001282339,0.30032,0,0.01
0.001288222,0.30848,0,0
0.001288222,0.30848,0,0.01
0.00129392,0.31664,0,0
0.00129392,0.31664,0,0.01
0.001299437,0.3248,0,0
0.001299437,0.3248,0,0.01
0.001304888,0.33296,0,0
0.001304888,0.33296,0,0.01
0.00131005,0.34112,0,0
0.00131005,0.34112,0,0.01
0.001315415,0.34928,0,0
0.001315415,0.34928,0,0.01
0.001320197,0.35744,0,0
0.001320197,0.35744,0,0.01
0.001325661,0.3656,0,0
0.001325661,0.3656,0,0.01
0.001329946,0.37376,0,0
0.001329946,0.37376,0,0.01
0.00133589,0.38192,0,0
0.00133589,0.38192,0,0.01
0.00133972,0.39008,0,0
0.00133972,0.39008,0,0.01
0.001345509,0.39824,0,0
0.001345509,0.39824,0,0.01
0.001352526,0.4064,0,0
0.001352526,0.4064,0,0.01
